Age,Gender,Location,Income Level,Financial Literacy,FinTech Product,Usage Frequency,Preferred Service Channel,Adoption Reason,Competitor,Transaction Fees (NGN),Loan Interest Rate (%),Subscription Fee (NGN),Digital Currency Usage,AI Financial Tool Usage,FinTech Satisfaction
39,Female,Kano,Middle,Expert,Digital Payments,Rarely,USSD,Security,Carbon,3.89,15.01,1000,No,No,4
19,Male,Kaduna,Low,Novice,Digital Payments,Weekly,USSD,Speed,Paga,1.8,4.12,0,No,No,3
41,Female,Abuja,Low,Novice,Investment Platforms,Monthly,Web Platform,Low Fees,Kuda,4.59,2.99,500,Yes,No,4
61,Female,Lagos,Middle,Intermediate,Digital Payments,Weekly,Agent Banking,Speed,Opay,0.9,19.47,500,No,No,9
47,Male,Port Harcourt,Middle,Novice,Blockchain Services,Weekly,Web Platform,Convenience,Carbon,4.5,9.97,1000,No,No,1
55,Female,Abuja,Low,Expert,Digital Payments,Daily,Web Platform,Security,FairMoney,0.51,9.41,0,Yes,No,9
19,Male,Lagos,Low,Novice,Micro-Lending,Weekly,Mobile App,Low Fees,Carbon,2.85,3.11,0,No,Yes,9
38,Male,Port Harcourt,Middle,Novice,Digital Payments,Weekly,USSD,Convenience,Kuda,2.01,4.58,1000,No,No,1
50,Male,Abuja,Low,Intermediate,Micro-Lending,Daily,Mobile App,Low Fees,Carbon,2.42,18.96,1000,No,No,9
29,Male,Kaduna,Middle,Novice,Digital Payments,Monthly,Mobile App,Security,Carbon,2.45,14.66,1000,No,Yes,6
39,Male,Abuja,Middle,Expert,Digital Payments,Daily,Web Platform,Security,Kuda,3.44,9.66,1000,No,No,8
61,Male,Enugu,Low,Novice,Blockchain Services,Weekly,Web Platform,Convenience,PalmPay,0.6,18.33,500,No,No,8
42,Female,Kaduna,Low,Novice,Micro-Lending,Weekly,Agent Banking,Low Fees,Kuda,3.61,12.82,500,No,No,8
44,Female,Port Harcourt,Middle,Expert,Micro-Lending,Rarely,Mobile App,Security,Carbon,0.6,15.56,1000,No,No,8
59,Female,Abuja,Low,Novice,Investment Platforms,Daily,USSD,Low Fees,FairMoney,1.33,10.05,2000,No,No,1
45,Female,Ibadan,Low,Expert,Digital Payments,Weekly,Mobile App,Low Fees,FairMoney,3.23,10.05,1000,No,No,1
33,Male,Port Harcourt,Middle,Novice,Digital Payments,Weekly,Agent Banking,Speed,Kuda,0.89,3.7,2000,No,No,7
32,Female,Abuja,Low,Novice,Blockchain Services,Daily,Mobile App,Convenience,Carbon,4.96,15.34,2000,No,No,9
64,Female,Enugu,Middle,Expert,Investment Platforms,Weekly,Mobile App,Convenience,Paga,4.03,4.23,0,No,No,8
61,Female,Lagos,Low,Expert,Investment Platforms,Daily,Mobile App,Low Fees,Paga,3.68,15.87,2000,No,No,5
20,Male,Lagos,Middle,Novice,Blockchain Services,Daily,Agent Banking,Speed,Opay,1.7,5.84,2000,No,No,8
54,Female,Ibadan,Low,Intermediate,Micro-Lending,Daily,Mobile App,Low Fees,Kuda,0.72,6.83,2000,No,Yes,9
24,Male,Port Harcourt,High,Expert,Mobile Banking App,Monthly,Web Platform,Convenience,Kuda,4.9,18.56,500,No,No,7
38,Female,Enugu,Middle,Novice,Blockchain Services,Daily,Mobile App,Convenience,Paga,1.17,10.75,0,No,No,3
26,Male,Abuja,Low,Novice,Micro-Lending,Weekly,Web Platform,Low Fees,Paga,4.24,4.69,0,No,No,9
56,Male,Abuja,Middle,Intermediate,Investment Platforms,Daily,Mobile App,Low Fees,Paga,1.39,18.34,2000,No,No,5
35,Female,Lagos,Low,Novice,Blockchain Services,Daily,Web Platform,Low Fees,FairMoney,2.18,10.42,500,No,Yes,8
21,Male,Enugu,Middle,Novice,Mobile Banking App,Daily,Mobile App,Convenience,FairMoney,3.62,4.78,1000,No,No,1
42,Male,Kaduna,High,Expert,Digital Payments,Weekly,USSD,Low Fees,Opay,4.75,9.34,500,No,No,1
31,Female,Ibadan,Middle,Novice,Blockchain Services,Daily,Web Platform,Low Fees,Opay,0.59,12.81,0,Yes,No,3
26,Female,Lagos,Low,Expert,Mobile Banking App,Daily,USSD,Security,PalmPay,1.67,8.84,2000,No,No,2
43,Female,Lagos,Middle,Intermediate,Mobile Banking App,Monthly,Web Platform,Convenience,FairMoney,3.94,18.68,500,Yes,No,5
19,Male,Ibadan,Low,Intermediate,Blockchain Services,Weekly,Mobile App,Low Fees,Kuda,1.28,7.22,2000,No,No,9
37,Male,Port Harcourt,Middle,Intermediate,Micro-Lending,Daily,Agent Banking,Speed,Opay,1,5.58,1000,No,No,9
45,Male,Abuja,Middle,Novice,Blockchain Services,Weekly,Mobile App,Convenience,Carbon,0.71,6.37,500,No,No,8
64,Female,Port Harcourt,Low,Novice,Investment Platforms,Daily,Agent Banking,Low Fees,Kuda,2.76,3.97,1000,No,No,5
24,Male,Enugu,Low,Novice,Mobile Banking App,Weekly,USSD,Low Fees,PalmPay,3.95,10.42,1000,Yes,Yes,3
61,Male,Kaduna,Middle,Intermediate,Mobile Banking App,Weekly,Agent Banking,Security,Paga,4.83,17.87,0,No,No,6
25,Male,Kano,Middle,Novice,Digital Payments,Daily,Agent Banking,Security,PalmPay,1.7,7.84,0,No,No,8
64,Male,Kano,Low,Novice,Mobile Banking App,Daily,Agent Banking,Convenience,Kuda,1.05,7.02,2000,No,No,6
52,Male,Kano,Low,Expert,Digital Payments,Weekly,Agent Banking,Security,Paga,2.31,17.15,1000,No,No,7
31,Male,Ibadan,Middle,Expert,Mobile Banking App,Monthly,USSD,Security,PalmPay,0.75,7.85,1000,No,No,7
34,Male,Lagos,Low,Novice,Mobile Banking App,Daily,Agent Banking,Convenience,PalmPay,1.99,10.85,0,No,Yes,7
53,Female,Kaduna,Low,Novice,Blockchain Services,Daily,Mobile App,Speed,Kuda,3.39,3.05,1000,No,No,9
57,Female,Port Harcourt,Low,Intermediate,Blockchain Services,Weekly,Web Platform,Low Fees,Opay,1.26,7.52,500,No,No,9
21,Female,Abuja,Low,Expert,Investment Platforms,Weekly,Web Platform,Low Fees,Carbon,3.34,4.78,1000,No,No,1
19,Male,Kano,Middle,Novice,Micro-Lending,Daily,Mobile App,Security,PalmPay,4.87,4.35,1000,Yes,No,3
23,Male,Port Harcourt,High,Novice,Investment Platforms,Daily,USSD,Low Fees,Carbon,4.39,10.05,0,Yes,No,5
59,Female,Kano,Middle,Expert,Mobile Banking App,Daily,Mobile App,Security,FairMoney,2.11,7.35,0,No,No,4
21,Male,Kaduna,Low,Expert,Investment Platforms,Daily,Mobile App,Convenience,FairMoney,2.4,5.41,2000,No,No,1
46,Female,Kano,Middle,Intermediate,Blockchain Services,Weekly,Agent Banking,Convenience,Kuda,2.39,11.45,0,No,No,1
35,Male,Abuja,Middle,Novice,Mobile Banking App,Daily,Agent Banking,Convenience,Kuda,4.37,16.22,500,No,No,4
43,Male,Enugu,Low,Novice,Mobile Banking App,Weekly,USSD,Low Fees,Opay,4.97,15.36,1000,Yes,No,5
61,Female,Enugu,High,Intermediate,Investment Platforms,Rarely,USSD,Security,Paga,4.22,6.89,2000,No,No,4
51,Female,Kaduna,Middle,Novice,Digital Payments,Weekly,Web Platform,Security,Carbon,3.01,7.1,1000,No,No,2
27,Female,Enugu,High,Novice,Micro-Lending,Weekly,USSD,Low Fees,PalmPay,0.94,15.31,0,No,No,5
53,Female,Ibadan,Middle,Novice,Investment Platforms,Weekly,Mobile App,Convenience,Paga,4.8,12.25,1000,No,No,3
31,Female,Lagos,Middle,Intermediate,Investment Platforms,Weekly,Web Platform,Speed,FairMoney,4.37,15.49,1000,No,No,7
48,Male,Ibadan,Low,Intermediate,Micro-Lending,Monthly,Web Platform,Security,FairMoney,4.29,2.52,500,No,No,4
32,Male,Port Harcourt,Middle,Expert,Mobile Banking App,Weekly,Agent Banking,Security,Carbon,2.26,4.02,1000,No,Yes,2
25,Male,Ibadan,Low,Intermediate,Mobile Banking App,Weekly,Agent Banking,Low Fees,Carbon,2.51,16.53,500,No,No,8
31,Female,Port Harcourt,High,Expert,Digital Payments,Daily,Web Platform,Speed,Paga,1.04,17.39,1000,No,No,2
40,Female,Port Harcourt,Middle,Expert,Investment Platforms,Weekly,Agent Banking,Convenience,Paga,4.72,8.51,0,No,No,7
57,Female,Lagos,High,Novice,Micro-Lending,Weekly,Agent Banking,Security,Opay,4.74,19.27,2000,No,No,8
38,Female,Abuja,Middle,Novice,Investment Platforms,Daily,Agent Banking,Low Fees,PalmPay,1.64,7.78,0,Yes,No,3
33,Female,Kaduna,High,Intermediate,Blockchain Services,Weekly,Web Platform,Speed,PalmPay,3.63,18.08,2000,No,No,6
62,Female,Lagos,Low,Novice,Investment Platforms,Weekly,Web Platform,Low Fees,PalmPay,1.42,9.88,1000,No,No,4
35,Male,Kaduna,Middle,Expert,Investment Platforms,Weekly,Web Platform,Speed,FairMoney,2.27,12.33,0,No,No,2
64,Male,Enugu,Middle,Novice,Blockchain Services,Rarely,Mobile App,Low Fees,FairMoney,1.86,13.76,500,No,No,8
41,Male,Enugu,Middle,Novice,Blockchain Services,Daily,Web Platform,Speed,Paga,2.25,4.83,0,No,No,2
43,Male,Ibadan,Middle,Intermediate,Micro-Lending,Daily,Agent Banking,Security,Opay,1.89,3.15,500,No,No,9
42,Male,Port Harcourt,Low,Intermediate,Mobile Banking App,Monthly,Web Platform,Speed,Kuda,2.05,9.97,1000,Yes,No,9
62,Female,Kano,Low,Intermediate,Digital Payments,Rarely,Mobile App,Convenience,Opay,4.06,5.31,1000,No,No,8
58,Female,Kano,High,Intermediate,Blockchain Services,Weekly,Agent Banking,Security,FairMoney,1.85,12.11,2000,Yes,No,3
46,Female,Kaduna,Middle,Novice,Mobile Banking App,Daily,USSD,Convenience,Paga,4.17,10.44,0,Yes,No,8
32,Female,Port Harcourt,Low,Novice,Micro-Lending,Weekly,Web Platform,Security,Opay,3.06,4.64,1000,No,No,5
62,Female,Kaduna,Middle,Expert,Investment Platforms,Daily,Web Platform,Speed,Paga,4.01,14.15,2000,No,No,5
18,Female,Lagos,High,Novice,Micro-Lending,Monthly,USSD,Security,Carbon,4.64,2.86,2000,No,No,2
42,Male,Abuja,Low,Novice,Micro-Lending,Monthly,Agent Banking,Low Fees,Carbon,1.12,4.71,1000,No,No,3
24,Female,Lagos,High,Novice,Blockchain Services,Daily,Web Platform,Speed,Kuda,2.05,14.75,500,No,No,8
26,Female,Port Harcourt,High,Novice,Digital Payments,Monthly,Mobile App,Low Fees,FairMoney,0.75,11.74,500,No,No,1
41,Female,Port Harcourt,High,Intermediate,Blockchain Services,Weekly,Agent Banking,Low Fees,Carbon,2.33,7.43,2000,No,No,4
18,Female,Abuja,High,Intermediate,Investment Platforms,Rarely,Web Platform,Low Fees,Kuda,1.57,5.65,1000,No,No,6
61,Male,Kaduna,Middle,Intermediate,Blockchain Services,Rarely,Agent Banking,Low Fees,PalmPay,3.07,13.74,0,No,No,9
25,Male,Ibadan,Low,Intermediate,Investment Platforms,Daily,Web Platform,Convenience,Paga,4.03,6.1,0,Yes,No,8
41,Female,Ibadan,Low,Novice,Blockchain Services,Daily,USSD,Speed,PalmPay,2.69,19.73,2000,No,No,5
28,Male,Abuja,Low,Novice,Digital Payments,Weekly,Web Platform,Low Fees,PalmPay,2,17.71,0,No,No,7
34,Male,Ibadan,Middle,Novice,Mobile Banking App,Rarely,Agent Banking,Convenience,Kuda,1.19,4.81,1000,No,No,8
25,Female,Kano,Low,Novice,Digital Payments,Rarely,Web Platform,Security,Paga,0.62,17.54,0,Yes,No,9
52,Female,Ibadan,Low,Novice,Blockchain Services,Weekly,Web Platform,Low Fees,Kuda,3.55,8.54,0,No,No,3
52,Female,Ibadan,Low,Novice,Micro-Lending,Daily,Agent Banking,Low Fees,Opay,0.64,11.07,1000,Yes,No,8
50,Female,Ibadan,Low,Intermediate,Mobile Banking App,Daily,Web Platform,Convenience,PalmPay,4.64,5,500,Yes,No,3
22,Female,Kano,High,Intermediate,Micro-Lending,Monthly,Web Platform,Security,Paga,3.17,4.58,500,No,No,1
59,Male,Kaduna,Low,Expert,Digital Payments,Weekly,Agent Banking,Security,PalmPay,2.09,17.65,2000,No,Yes,4
56,Female,Ibadan,Middle,Intermediate,Mobile Banking App,Weekly,USSD,Convenience,Opay,0.69,13.52,1000,No,No,7
58,Female,Enugu,Middle,Novice,Blockchain Services,Weekly,Mobile App,Low Fees,FairMoney,2.36,10.56,500,Yes,No,9
45,Female,Kano,Low,Novice,Micro-Lending,Monthly,Mobile App,Speed,Opay,4.4,3.13,0,Yes,No,7
24,Male,Abuja,High,Novice,Blockchain Services,Monthly,Mobile App,Convenience,FairMoney,4.86,18.63,2000,No,No,5
26,Female,Lagos,Middle,Novice,Investment Platforms,Weekly,Mobile App,Speed,Paga,0.88,9.08,1000,No,No,1
25,Female,Abuja,Low,Novice,Mobile Banking App,Daily,Mobile App,Low Fees,Paga,4,9.79,1000,No,Yes,1
29,Female,Lagos,Low,Novice,Micro-Lending,Weekly,Mobile App,Low Fees,Opay,1.66,7.57,2000,No,No,9
51,Male,Abuja,Low,Intermediate,Digital Payments,Rarely,Agent Banking,Security,PalmPay,2.21,18.1,500,Yes,No,4
50,Female,Enugu,Low,Intermediate,Digital Payments,Weekly,Agent Banking,Low Fees,Carbon,2.96,8.53,2000,No,No,3
40,Female,Lagos,Low,Intermediate,Digital Payments,Daily,Agent Banking,Security,PalmPay,4.98,5.55,2000,No,No,5
41,Female,Lagos,Middle,Novice,Digital Payments,Daily,Web Platform,Security,Carbon,1.44,11.26,1000,No,No,7
54,Male,Port Harcourt,High,Intermediate,Micro-Lending,Daily,USSD,Low Fees,Kuda,1.09,16.18,1000,No,No,7
52,Female,Lagos,Middle,Intermediate,Investment Platforms,Daily,USSD,Security,Paga,3.18,9,0,Yes,No,5
61,Female,Lagos,Low,Intermediate,Digital Payments,Weekly,Mobile App,Low Fees,Opay,4.34,13.91,2000,No,No,8
57,Female,Port Harcourt,Low,Novice,Digital Payments,Daily,Mobile App,Security,Kuda,3.42,7.82,1000,No,No,5
39,Male,Ibadan,Middle,Intermediate,Digital Payments,Weekly,Agent Banking,Security,PalmPay,2.06,15.1,1000,No,No,4
44,Female,Ibadan,Low,Intermediate,Investment Platforms,Daily,USSD,Low Fees,Carbon,4.9,14.2,1000,Yes,No,6
52,Female,Port Harcourt,Low,Novice,Mobile Banking App,Daily,Web Platform,Speed,FairMoney,4.98,14.41,1000,Yes,No,3
18,Female,Kano,High,Novice,Digital Payments,Weekly,Web Platform,Convenience,Paga,3.97,13.8,2000,No,No,4
52,Male,Lagos,Low,Novice,Digital Payments,Weekly,Agent Banking,Low Fees,Carbon,4.11,5.24,2000,No,Yes,8
54,Male,Lagos,High,Intermediate,Digital Payments,Daily,Mobile App,Security,PalmPay,3.92,18.04,500,No,No,3
64,Female,Port Harcourt,Low,Intermediate,Mobile Banking App,Monthly,USSD,Convenience,PalmPay,1.66,12.75,2000,Yes,No,3
31,Male,Port Harcourt,High,Novice,Digital Payments,Daily,Web Platform,Speed,Opay,1.18,9.19,1000,No,Yes,6
20,Male,Kano,Middle,Novice,Mobile Banking App,Weekly,Mobile App,Low Fees,Kuda,2.99,5.52,0,No,No,8
18,Male,Enugu,Middle,Expert,Mobile Banking App,Weekly,USSD,Security,Paga,4.79,16.21,2000,Yes,No,2
22,Female,Ibadan,Low,Novice,Blockchain Services,Monthly,Web Platform,Security,Opay,4.45,11.41,500,No,Yes,1
43,Female,Abuja,High,Novice,Blockchain Services,Weekly,Mobile App,Low Fees,Carbon,0.98,5.08,2000,No,No,1
31,Male,Enugu,High,Novice,Digital Payments,Weekly,Web Platform,Security,Kuda,0.76,18.62,1000,No,No,7
56,Male,Kaduna,Middle,Intermediate,Micro-Lending,Weekly,Mobile App,Convenience,Paga,4.43,4.36,500,Yes,No,2
44,Male,Ibadan,Middle,Intermediate,Blockchain Services,Weekly,Mobile App,Security,Carbon,3.26,11.67,1000,No,No,9
26,Female,Lagos,Middle,Novice,Blockchain Services,Monthly,Mobile App,Convenience,Paga,1.87,13.19,1000,No,No,4
32,Female,Kaduna,Low,Expert,Micro-Lending,Daily,USSD,Convenience,Paga,3.03,19.98,2000,No,No,7
32,Male,Enugu,Middle,Intermediate,Investment Platforms,Monthly,Agent Banking,Low Fees,FairMoney,1.5,4.97,2000,No,No,5
43,Male,Port Harcourt,High,Novice,Digital Payments,Daily,Mobile App,Security,FairMoney,4.76,13.24,500,No,Yes,5
59,Male,Kano,Low,Intermediate,Investment Platforms,Rarely,Mobile App,Convenience,Kuda,4.22,10.84,500,No,No,7
30,Male,Ibadan,Low,Novice,Investment Platforms,Weekly,Web Platform,Security,FairMoney,4.83,7,500,Yes,No,9
49,Female,Kano,Middle,Intermediate,Mobile Banking App,Monthly,Web Platform,Convenience,Carbon,1.34,18.99,500,No,No,4
56,Male,Kaduna,Middle,Novice,Mobile Banking App,Weekly,USSD,Speed,FairMoney,4.3,16.34,0,No,No,9
49,Female,Ibadan,Low,Intermediate,Digital Payments,Daily,Agent Banking,Low Fees,Opay,3.02,16.1,500,No,No,9
21,Male,Enugu,Low,Novice,Micro-Lending,Daily,Web Platform,Low Fees,Opay,1.96,18.24,2000,No,Yes,8
47,Male,Lagos,Low,Expert,Mobile Banking App,Monthly,USSD,Low Fees,Opay,2.66,15.19,0,Yes,No,1
54,Male,Abuja,Middle,Novice,Blockchain Services,Weekly,USSD,Convenience,Paga,4.75,11.37,1000,Yes,No,9
40,Male,Kano,Low,Intermediate,Digital Payments,Weekly,USSD,Speed,PalmPay,3.61,9.35,1000,No,No,3
56,Male,Kano,Middle,Novice,Investment Platforms,Daily,Mobile App,Convenience,Kuda,2.12,14.82,500,No,No,8
62,Female,Abuja,Low,Expert,Digital Payments,Rarely,Agent Banking,Low Fees,Opay,5,13.05,1000,No,No,5
32,Male,Kano,Middle,Intermediate,Mobile Banking App,Daily,Agent Banking,Convenience,Kuda,2.06,12,0,No,Yes,6
60,Male,Kano,High,Novice,Micro-Lending,Daily,Agent Banking,Low Fees,FairMoney,4.16,12.81,2000,No,Yes,3
46,Male,Ibadan,Low,Expert,Investment Platforms,Rarely,Mobile App,Security,Paga,4.03,13.97,2000,No,No,7
53,Female,Ibadan,Low,Novice,Micro-Lending,Rarely,Mobile App,Convenience,Kuda,3.75,19.45,0,No,No,2
30,Female,Abuja,High,Intermediate,Digital Payments,Daily,Web Platform,Security,Opay,3.51,15.68,500,No,No,3
49,Female,Kaduna,Low,Intermediate,Micro-Lending,Monthly,Web Platform,Convenience,Opay,0.99,5.59,500,Yes,No,2
24,Female,Lagos,Low,Novice,Micro-Lending,Daily,Web Platform,Low Fees,Paga,4.98,10.67,500,No,No,9
39,Male,Enugu,High,Expert,Digital Payments,Daily,USSD,Security,Paga,1.22,14.37,0,No,No,3
45,Male,Enugu,High,Novice,Investment Platforms,Monthly,Agent Banking,Convenience,Carbon,3.18,5.57,500,No,No,8
19,Male,Kaduna,Middle,Novice,Micro-Lending,Monthly,Mobile App,Low Fees,Paga,1.62,18.82,2000,No,No,6
59,Female,Kano,Low,Expert,Micro-Lending,Daily,Web Platform,Convenience,PalmPay,1.26,3.85,0,No,No,1
62,Male,Lagos,Low,Intermediate,Digital Payments,Daily,USSD,Security,PalmPay,3.02,13.19,0,No,No,6
23,Male,Abuja,Low,Novice,Blockchain Services,Daily,Mobile App,Convenience,Opay,4.26,19.58,1000,No,No,8
45,Female,Kaduna,Middle,Novice,Micro-Lending,Monthly,USSD,Convenience,FairMoney,2.2,15.24,1000,No,No,3
45,Female,Abuja,Middle,Intermediate,Mobile Banking App,Rarely,USSD,Security,Paga,0.85,14.35,500,No,No,7
61,Female,Ibadan,High,Novice,Investment Platforms,Daily,USSD,Low Fees,PalmPay,3.31,19.95,500,No,No,6
61,Male,Kano,Low,Expert,Micro-Lending,Monthly,Agent Banking,Convenience,PalmPay,3.95,16.36,2000,No,No,1
37,Male,Port Harcourt,Middle,Intermediate,Digital Payments,Daily,Mobile App,Convenience,Carbon,1.83,19.48,500,No,No,2
47,Female,Abuja,Low,Novice,Mobile Banking App,Weekly,Mobile App,Speed,FairMoney,3.61,14.73,2000,No,No,5
28,Male,Kaduna,Low,Novice,Digital Payments,Daily,USSD,Speed,FairMoney,0.84,14.15,500,Yes,Yes,7
45,Female,Kano,Middle,Intermediate,Micro-Lending,Weekly,Agent Banking,Low Fees,Paga,2.13,15.84,2000,No,Yes,4
42,Female,Lagos,Low,Novice,Mobile Banking App,Daily,USSD,Security,Carbon,2.63,5.8,0,Yes,No,6
56,Male,Kaduna,Middle,Intermediate,Investment Platforms,Rarely,Web Platform,Low Fees,FairMoney,4.02,16.6,2000,Yes,Yes,2
50,Female,Ibadan,Middle,Expert,Investment Platforms,Daily,Mobile App,Low Fees,FairMoney,2.02,19.48,500,Yes,No,5
18,Female,Enugu,High,Intermediate,Investment Platforms,Weekly,Mobile App,Low Fees,Kuda,2.54,13.2,1000,No,No,3
44,Female,Lagos,Middle,Novice,Blockchain Services,Monthly,Agent Banking,Convenience,Carbon,3.33,2.72,500,No,No,1
30,Male,Abuja,High,Novice,Digital Payments,Weekly,Mobile App,Convenience,FairMoney,3.31,3.76,0,No,Yes,6
58,Female,Abuja,Middle,Intermediate,Micro-Lending,Daily,Mobile App,Low Fees,Kuda,2.83,6.61,1000,No,No,9
20,Female,Lagos,Low,Intermediate,Mobile Banking App,Weekly,Mobile App,Low Fees,Kuda,1.98,11.09,2000,No,No,8
56,Female,Abuja,Middle,Intermediate,Digital Payments,Monthly,Agent Banking,Speed,FairMoney,3.51,9.74,1000,No,No,4
23,Female,Kaduna,Middle,Novice,Micro-Lending,Weekly,USSD,Security,Paga,4.27,19.64,500,Yes,Yes,8
25,Female,Kano,Middle,Expert,Blockchain Services,Daily,Mobile App,Low Fees,Kuda,1.19,19.05,1000,Yes,No,5
44,Female,Abuja,Middle,Novice,Micro-Lending,Weekly,USSD,Speed,Kuda,2.03,9.37,1000,No,No,3
26,Female,Ibadan,Low,Intermediate,Digital Payments,Rarely,Agent Banking,Low Fees,Carbon,3.51,16.4,500,No,No,4
54,Male,Kano,Low,Intermediate,Micro-Lending,Daily,USSD,Security,Paga,3.9,13.64,500,Yes,No,7
50,Male,Kaduna,Low,Intermediate,Mobile Banking App,Weekly,Web Platform,Low Fees,Paga,4.02,6.75,0,No,No,5
59,Female,Port Harcourt,Middle,Novice,Blockchain Services,Weekly,Mobile App,Security,Kuda,3.44,18.8,1000,No,No,4
61,Male,Abuja,Middle,Intermediate,Mobile Banking App,Daily,Agent Banking,Convenience,Carbon,2.65,7.04,2000,No,No,3
41,Male,Abuja,Middle,Novice,Blockchain Services,Weekly,Agent Banking,Security,Carbon,3.41,17.73,500,Yes,No,3
32,Female,Ibadan,Low,Intermediate,Blockchain Services,Rarely,USSD,Low Fees,Carbon,1.11,13.66,1000,No,No,6
49,Male,Kaduna,Low,Novice,Micro-Lending,Daily,Mobile App,Speed,Carbon,1.43,13.37,500,No,No,8
49,Female,Ibadan,Middle,Novice,Mobile Banking App,Monthly,Agent Banking,Convenience,Opay,4.67,17.17,0,No,No,4
41,Female,Enugu,Middle,Novice,Blockchain Services,Monthly,Web Platform,Speed,FairMoney,4.65,11.15,500,No,No,1
58,Female,Kaduna,Middle,Expert,Blockchain Services,Daily,USSD,Low Fees,Kuda,3.76,17.43,500,No,No,4
29,Female,Lagos,Middle,Intermediate,Micro-Lending,Daily,Web Platform,Convenience,Kuda,1.97,12.13,0,No,No,5
56,Female,Lagos,Low,Intermediate,Digital Payments,Rarely,Web Platform,Speed,Kuda,3.42,19.73,500,No,No,8
19,Male,Lagos,Middle,Intermediate,Digital Payments,Monthly,USSD,Low Fees,Paga,3.6,14.05,0,Yes,No,7
20,Female,Ibadan,High,Expert,Investment Platforms,Daily,Web Platform,Speed,Paga,2.82,9.05,1000,Yes,No,2
54,Male,Lagos,Middle,Novice,Investment Platforms,Daily,USSD,Security,Carbon,3.87,15.86,1000,Yes,No,9
34,Female,Kaduna,Middle,Intermediate,Blockchain Services,Weekly,USSD,Security,FairMoney,0.63,11.42,1000,No,No,3
19,Female,Lagos,Middle,Intermediate,Digital Payments,Weekly,Agent Banking,Low Fees,Paga,1.65,16.61,2000,Yes,No,9
19,Female,Port Harcourt,Middle,Novice,Blockchain Services,Weekly,Agent Banking,Speed,PalmPay,4.08,17.09,500,No,Yes,1
45,Male,Lagos,Middle,Novice,Mobile Banking App,Rarely,Web Platform,Low Fees,Kuda,4.72,13.3,0,No,No,9
40,Female,Abuja,Middle,Novice,Digital Payments,Weekly,Web Platform,Speed,Kuda,4.44,17.76,500,No,Yes,7
54,Female,Enugu,Middle,Novice,Digital Payments,Monthly,Web Platform,Convenience,Opay,3.72,9.56,2000,Yes,No,2
49,Female,Ibadan,Low,Novice,Digital Payments,Weekly,Web Platform,Low Fees,Opay,1.24,3.5,500,No,No,7
50,Female,Kano,High,Novice,Investment Platforms,Daily,Web Platform,Low Fees,PalmPay,2.16,14.1,2000,Yes,No,1
18,Male,Enugu,Middle,Intermediate,Micro-Lending,Monthly,Agent Banking,Speed,Opay,0.73,15.88,500,Yes,Yes,3
36,Female,Port Harcourt,Low,Novice,Micro-Lending,Weekly,Web Platform,Low Fees,FairMoney,3.38,3.77,2000,No,No,7
19,Male,Ibadan,Middle,Novice,Investment Platforms,Daily,Web Platform,Convenience,Carbon,2.52,15.99,0,No,No,3
